Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(mph),TrueHeading,Alt(feet),ActivityType,ActivityConfidence
36:01.1,0.0311,0.0481,-0.9397,0.0119,-0.0192,-0.0456,0.0225,-0.0418,-0.3732,,,0,296.804,0,Automotive,Low
36:01.2,-0.0139,0.0489,-0.9334,-0.0043,-0.0022,0.0021,0.0231,-0.0423,-0.3729,,,0,296.804,0,Automotive,Low
36:01.3,0.0301,0.05,-0.9517,-0.0051,-0.0044,-0.0065,0.0217,-0.0419,-0.3713,,,0,296.804,0,Automotive,Low
36:01.4,0.0038,0.0435,-1.038,-0.009,-0.0289,-0.0032,0.0186,-0.0425,-0.3712,,,0,296.804,0,Automotive,Low
36:01.5,0.0201,0.042,-0.9184,-0.0285,-0.0186,0.0007,0.0153,-0.0429,-0.3708,,,0,296.804,0,Automotive,Low
36:01.6,0.0387,0.0312,-0.9265,-0.0425,-0.0667,-0.0047,0.0135,-0.0445,-0.3702,,,0,296.804,0,Automotive,Low
36:01.7,0.0589,0.0416,-0.9186,-0.019,-0.0131,-0.0024,0.0123,-0.0455,-0.3688,,,0,296.804,0,Automotive,High
36:01.8,0.0226,0.0486,-1.0064,-0.0006,-0.0234,-0.002,0.0119,-0.0463,-0.3678,,,0,296.804,0,Automotive,High
36:01.9,0.0592,0.039,-1.0906,-0.0313,-0.0367,-0.0068,0.0115,-0.0457,-0.3664,,,0,296.804,0,Automotive,High
36:02.0,0.048,0.0497,-0.9823,0.0102,-0.0286,-0.0029,0.0098,-0.0463,-0.3661,,,0,296.804,0,Automotive,High
36:02.1,0.03,0.0493,-0.8924,-0.0304,-0.0282,-0.0068,0.01,-0.0468,-0.3655,,,0,296.804,0,Automotive,High
36:02.2,0.06,0.0185,-1.0063,0.0105,-0.0445,-0.0018,0.0081,-0.0477,-0.3653,,,0,296.804,0,Automotive,High
36:02.3,0.0476,0.0397,-0.8871,0.0145,-0.0253,-0.0071,0.0081,-0.0469,-0.3649,,,0,296.804,0,Automotive,High
36:02.4,0.0314,0.0582,-0.927,0.0313,-0.0665,-0.0088,0.0079,-0.0471,-0.3648,,,0,296.804,0,Automotive,High
36:02.5,0.0655,0.0437,-0.8692,0.0057,-0.0106,-0.0063,0.0052,-0.047,-0.3648,,,0,296.804,0,Automotive,High
36:02.6,0.0565,0.031,-0.8874,0.0121,-0.0722,-0.007,0.0056,-0.0465,-0.3646,,,0,296.804,0,Automotive,High
36:02.7,0.0293,0.0438,-0.8797,-0.0013,-0.0352,-0.0084,0.0077,-0.0475,-0.3645,,,0,296.804,0,Automotive,High
36:02.8,0.0442,0.0357,-0.8825,0.0015,0.0052,-0.0288,0.0043,-0.0453,-0.3667,,,0,296.804,0,Automotive,High
36:02.9,0.0242,0.0415,-0.9307,0.0173,0.0045,-0.0136,0.0057,-0.0441,-0.3671,,,0,296.804,0,Automotive,High
