Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(mph),TrueHeading,Alt(feet),ActivityType,ActivityConfidence
07:04.3,0.0895,0.0445,-0.9774,0.0096,-0.0305,0.0323,0.0799,-0.0316,-2.5511,,,0,64.5906,0,Automotive,High
07:04.4,0.079,0.0429,-1.0139,0.0117,-0.0191,-0.0349,0.0796,-0.0303,-2.5495,,,0,64.5906,0,Automotive,High
07:04.5,0.0588,0.0095,-0.9889,0.0116,0.0024,0.0066,0.0788,-0.0295,-2.5511,,,0,64.5906,0,Automotive,High
07:04.6,0.0959,-0.0079,-0.9957,0.0208,0.0119,-0.0392,0.078,-0.0269,-2.5496,,,0,64.5906,0,Automotive,High
07:04.7,0.0592,0.0335,-1.0708,0.0056,0.0416,0.0021,0.0767,-0.0234,-2.5499,,,0,64.5906,0,Automotive,High
07:04.8,0.0782,0.0125,-1.0491,0.0134,-0.0042,-0.0275,0.0767,-0.0226,-2.5504,,,0,64.5906,0,Automotive,High
07:04.9,0.0794,0.008,-1.1098,0.0097,0.0023,-0.0052,0.0773,-0.0209,-2.5501,,,0,64.5906,0,Automotive,High
07:05.0,0.1007,0.0133,-1.054,0.0071,0.0299,-0.0085,0.0793,-0.0203,-2.5496,,,0,64.5906,0,Automotive,High
07:05.1,0.0765,0.0318,-1.0829,0.0043,-0.002,0.0011,0.0807,-0.0178,-2.5502,,,0,64.5906,0,Automotive,High
07:05.2,0.1022,0.0234,-1.0385,0.003,0.0117,-0.0021,0.084,-0.0157,-2.5496,,,0,64.5906,0,Automotive,High
07:05.3,0.0789,0.0291,-1.0875,-0.0009,0.0574,-0.0056,0.086,-0.015,-2.5492,,,0,64.5906,0,Automotive,High
07:05.4,0.1296,0.0265,-1.0585,-0.0053,0.0211,-0.0258,0.0886,-0.0154,-2.5493,,,0,64.5906,0,Automotive,High
07:05.5,0.0857,0.0459,-1.0367,-0.0022,0.031,0.0308,0.092,-0.0153,-2.5506,,,0,64.5906,0,Automotive,High
07:05.6,0.1113,0.0504,-1.0816,0.0057,0.0498,-0.0695,0.0935,-0.0172,-2.5476,,,0,64.5906,0,Automotive,High
07:05.7,0.1271,-0.0006,-1.0942,-0.0049,0.0446,-0.0088,0.092,-0.0165,-2.5486,,,0,64.5906,0,Automotive,High
07:05.8,0.0257,0.028,-1.0367,-0.0132,0.03,0.1063,0.0978,-0.0171,-2.5466,,,0,64.5906,0,Automotive,High
07:05.9,0.0552,0.0152,-1.0073,-0.0089,0.0643,-0.1018,0.0968,-0.0171,-2.5441,,,0,64.5906,0,Automotive,High
07:06.0,0.0818,0.0047,-1.0004,-0.0237,0.0113,-0.0037,0.0991,-0.0171,-2.5495,,,0,64.5906,0,Automotive,High
07:06.1,0.0584,0.0204,-1.0573,-0.0086,0.0062,-0.0044,0.0969,-0.0172,-2.5458,,,0,64.5906,0,Automotive,High
07:06.2,0.0736,0.0399,-1.0225,-0.0134,0.0378,-0.0644,0.0968,-0.0168,-2.5463,,,0,64.5906,0,Automotive,High
07:06.3,0.077,0.0227,-1.0445,-0.0166,-0.0205,-0.0055,0.0997,-0.0179,-2.5491,,,0,64.5906,0,Automotive,High
07:06.4,0.1005,0.0041,-1.0838,-0.0205,0.0206,-0.0698,0.0999,-0.0184,-2.5493,,,0,64.5906,0,Automotive,High
