Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(mph),TrueHeading,Alt(feet),ActivityType,ActivityConfidence
22:42.6,0.0412,0.0403,-1.0292,-0.0006,-0.0245,-0.001,0.0453,-0.0532,1.7781,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:42.7,0.0474,0.0495,-1.0004,-0.0028,-0.0107,-0.0107,0.0426,-0.0531,1.7785,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:42.8,0.0591,0.0773,-1.0115,-0.0142,-0.0385,-0.0022,0.0425,-0.053,1.7787,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:42.9,0.0526,0.0592,-1.0313,0.0036,-0.0127,-0.0095,0.0414,-0.0529,1.7791,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:43.0,0.0547,0.0548,-0.9956,-0.0131,-0.0396,-0.0054,0.0408,-0.0526,1.7794,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:43.1,0.0621,0.058,-1.0143,-0.001,-0.0554,-0.0051,0.0407,-0.0519,1.7801,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:43.2,0.0518,0.0681,-1.006,0.0008,-0.0394,-0.0041,0.0404,-0.051,1.7804,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:43.3,0.0516,0.0546,-1.0362,0.0068,-0.0201,0.0002,0.0402,-0.0504,1.7806,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:43.4,0.044,0.047,-1.0019,0.0026,-0.0149,-0.0084,0.0399,-0.0503,1.7809,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:43.5,0.0267,0.0512,-0.9927,0.0014,-0.0096,-0.0095,0.0415,-0.05,1.7812,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:43.6,0.0437,0.0541,-1.0068,-0.0011,0.0032,-0.0032,0.0424,-0.0496,1.7813,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:43.7,0.043,0.0704,-1.0469,0.005,0.0245,-0.0075,0.0434,-0.0486,1.7816,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:43.8,0.04,0.0545,-1.054,0.001,0.0043,-0.0011,0.0445,-0.0475,1.7817,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:43.9,0.0465,0.0354,-1.0447,-0.0034,0.0212,-0.0087,0.0446,-0.0469,1.7822,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:44.0,0.0531,0.0746,-1.0702,-0.0072,-0.0034,-0.0129,0.0474,-0.0483,1.7813,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:44.1,0.0358,0.0716,-1.04,-0.003,-0.0086,-0.0053,0.046,-0.0474,1.782,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:44.2,0.0403,0.0473,-1.0249,0.0011,0.0117,-0.0107,0.0462,-0.0476,1.7818,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:44.3,0.0388,0.0544,-1.0198,-0.0045,0.0201,-0.0076,0.0469,-0.0484,1.7821,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:44.4,0.0309,0.0166,-1.0276,-0.012,0.0179,-0.0056,0.0463,-0.0487,1.7822,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:44.5,0.0376,0.0699,-1.0468,-0.0085,0.003,-0.0066,0.0467,-0.0483,1.7823,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:44.6,0.0479,0.0631,-1.0143,0.0034,-0.0063,-0.0031,0.0468,-0.05,1.7825,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:44.7,0.0551,0.0353,-0.9979,-0.0053,0.0105,-0.0108,0.0468,-0.0499,1.7828,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:44.8,0.0701,0.0517,-1.029,-0.0084,-0.0002,-0.0065,0.0492,-0.0507,1.7829,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:44.9,0.0583,0.0354,-1.0379,-0.0107,0.0062,-0.0045,0.0528,-0.0517,1.7836,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:45.0,0.0679,0.0677,-1.0045,-0.0167,-0.0195,-0.0045,0.0541,-0.0516,1.7839,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:45.1,0.0766,0.0386,-0.9988,-0.0083,-0.0055,-0.0108,0.0545,-0.0521,1.7841,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:45.2,0.0545,0.0552,-1.0078,0.0049,-0.0266,-0.0094,0.0557,-0.0528,1.7844,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:45.3,0.0423,0.0484,-1.0185,-0.0147,-0.0109,-0.0045,0.0545,-0.0538,1.7844,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:45.4,0.0334,0.0599,-1.0226,-0.0095,0.0019,-0.0108,0.0531,-0.0544,1.785,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:45.5,0.0434,0.0606,-0.9676,-0.0119,0.0231,-0.0131,0.0505,-0.0551,1.785,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:45.6,0.0445,0.0435,-0.9743,-0.008,-0.0268,-0.0054,0.0521,-0.0549,1.7849,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:45.7,0.0612,0.0478,-0.9669,-0.0091,-0.0183,-0.0097,0.0526,-0.0556,1.7849,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:45.8,0.0479,0.0414,-0.9818,-0.0063,-0.0012,-0.0033,0.0532,-0.0534,1.7852,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:45.9,0.0385,0.026,-0.9477,-0.006,-0.0171,-0.0054,0.0536,-0.0524,1.7851,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:46.0,0.0443,0.0459,-0.988,-0.0009,-0.0022,-0.0053,0.0534,-0.0508,1.7853,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:46.1,0.0365,0.0338,-0.9902,-0.0052,-0.0033,-0.0054,0.0527,-0.0498,1.7855,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:46.2,0.05,0.0629,-1.0211,0.0028,0.0298,-0.0086,0.0525,-0.0489,1.7858,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:46.3,0.0541,0.0399,-1.0382,0.002,0.0117,-0.0021,0.0555,-0.0482,1.7855,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:46.4,0.0363,0.0513,-1.0006,-0.0063,0.0052,-0.0129,0.0573,-0.0476,1.786,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:46.5,0.0428,0.0482,-1.0163,0.0013,-0.0127,-0.001,0.0582,-0.0471,1.7857,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:46.6,0.0367,0.0456,-1.0115,-0.0019,-0.0107,-0.0043,0.0585,-0.0469,1.786,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:46.7,0.0564,0.0701,-1.0189,-0.0066,0.0179,-0.0098,0.0533,-0.047,1.786,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:46.8,0.0455,0.0461,-0.9901,-0.0074,0.0009,-0.0055,0.0551,-0.0474,1.7859,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:46.9,0.0443,0.0491,-0.9816,-0.0052,0.0009,-0.0086,0.0557,-0.0481,1.7861,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:47.0,0.057,0.0403,-0.9877,-0.0081,-0.0214,-0.0033,0.0552,-0.0481,1.786,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:47.1,0.0617,0.0541,-0.9743,-0.0116,-0.0002,-0.0077,0.0544,-0.048,1.7862,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:47.2,0.046,0.0581,-1.0014,0.0043,0.0075,-0.0085,0.0537,-0.0491,1.7863,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:47.3,0.0513,0.0552,-0.9676,-0.0104,-0.0087,-0.0087,0.0552,-0.0486,1.7864,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:47.4,0.0456,0.0719,-0.9647,-0.0025,-0.0352,-0.002,0.056,-0.0482,1.7864,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:47.5,0.0892,0.03,-1.0002,-0.0044,0.019,-0.0108,0.0541,-0.0485,1.7868,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:47.6,0.0715,0.0453,-0.9672,0.0021,-0.0521,-0.004,0.0574,-0.0491,1.7864,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:47.7,0.03,0.0472,-0.9729,0.0083,-0.0424,-0.0029,0.0538,-0.0491,1.7868,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:47.8,0.062,0.0337,-0.959,-0.0054,0.02,-0.0194,0.0526,-0.0486,1.7867,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:47.9,0.0456,0.0568,-1.0068,0.0003,-0.0181,0.0011,0.055,-0.0473,1.7864,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:48.0,0.0467,0.0322,-0.9993,0.0018,-0.0309,-0.0084,0.0522,-0.0465,1.7868,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:48.1,0.0507,0.0452,-1.0034,0.0099,-0.0084,-0.0083,0.0503,-0.046,1.7866,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:48.2,0.0304,0.0324,-1.0042,0.0103,-0.0318,-0.0061,0.05,-0.0448,1.7865,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:48.3,0.0544,0.0544,-1.0186,0.0033,0.0096,-0.0128,0.048,-0.0437,1.7866,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:48.4,0.0378,0.039,-1.0642,0.0111,-0.0211,-0.0019,0.0503,-0.0417,1.7861,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:48.5,0.011,0.0474,-1.0508,0.0059,-0.0191,-0.0084,0.0461,-0.0404,1.7867,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:48.6,0.0266,0.0511,-1.0125,0.0109,-0.0009,-0.0115,0.0466,-0.0399,1.7863,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:48.7,0.0424,0.0318,-1.0057,0.0096,0.0065,-0.0052,0.0475,-0.039,1.7866,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:48.8,0.0662,0.0381,-1.0563,0.0083,0.0214,-0.0074,0.0506,-0.0377,1.7863,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:48.9,0.0682,0.032,-1.0565,0.0101,-0.0222,-0.0051,0.0529,-0.0364,1.7865,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:49.0,0.0591,0.0516,-1.0555,0.0015,-0.0202,-0.002,0.0528,-0.035,1.7866,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:49.1,0.058,0.0481,-1.0343,-0.0014,-0.0341,-0.0073,0.0516,-0.0341,1.7868,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:49.2,0.049,0.0233,-1.0768,-0.0077,-0.0438,-0.0042,0.0491,-0.0333,1.7871,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:49.3,0.0556,0.0435,-1.1097,0.0067,-0.0158,-0.0009,0.0465,-0.0336,1.7873,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:49.4,0.0541,0.0261,-1.0633,0.0025,-0.0032,-0.0138,0.0478,-0.0334,1.7873,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:49.5,0.0397,0.0332,-1.0726,0.0036,-0.0223,0.0012,0.0494,-0.0334,1.7876,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:49.6,0.0605,0.0394,-1.104,-0.0113,-0.0151,-0.0097,0.0486,-0.0333,1.7875,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:49.7,0.0511,0.0484,-1.0449,-0.0017,-0.016,-0.0053,0.0477,-0.0337,1.7877,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:49.8,0.038,0.0273,-1.0136,-0.0125,-0.0141,-0.0023,0.0467,-0.0349,1.7879,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:49.9,0.0468,0.0359,-1.0357,-0.0165,-0.028,-0.0066,0.0462,-0.0348,1.7882,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:50.0,0.0362,0.0288,-1.0109,0.0001,-0.0032,-0.0032,0.0437,-0.0354,1.7883,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:50.1,0.0552,0.0179,-1.0013,-0.0022,0.0148,-0.0086,0.044,-0.0346,1.7887,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:50.2,0.06,0.0284,-0.98,0.0071,-0.0329,-0.0051,0.0459,-0.0332,1.7887,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:50.3,0.042,0.0121,-0.9949,-0.0006,-0.0234,-0.0031,0.0481,-0.0318,1.7895,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:50.4,0.0522,0.0233,-1.0377,-0.0002,-0.051,0.0055,0.0476,-0.0307,1.7897,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
